Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Malawi,MWI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.225686822,3.828046255,1.969743395,-0.945888195,2.492866286,2.720274217,0.002403032,-0.248244189,1.234158599,1.625495537,2.656769068,-1.85159978,0.102866904,-1.626552694,-1.01408252
Malawi,MWI,Population density (people per sq. km of land area),EN.POP.DNST,151.6645312,156.1139372,160.6501273,165.2657085,169.9700361,174.7768986,179.6663343,184.6162919,189.6602355,194.8226877,200.1202482,205.5267395,210.9645948,..,..
Malawi,MWI,Population growth (annual %),SP.POP.GROW,2.905723394,2.891505731,2.864277046,2.832565554,2.806762968,2.788813239,2.759113701,2.717814084,2.695466368,2.685561427,2.68285756,2.665771783,2.611417766,2.559138271,2.547168863
Malawi,MWI,"Population, total",SP.POP.TOTL,14298932,14718422,15146094,15581251,16024775,16477966,16938942,17405624,17881167,18367883,18867337,19377061,19889742,20405317,20931751
Malawi,MWI,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,..,87.3,..,..,..,..,..,87.3,..,..,89.1,..,..,..,..
Malawi,MWI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,..,68.4,..,..,..,..,..,65.7,..,..,70.1,..,..,..,..
Malawi,MWI,Multidimensional poverty headcount ratio (UNDP) (% of population),SI.POV.MPUN,..,..,..,..,..,..,..,..,..,..,49.9,..,..,..,..
Malawi,MWI,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,..,30.7,..,..,..,..,..,26,..,..,29.3,..,..,..,..
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,10231962390,10689168016,12995112690,12442035339,13242690786,14364937124,13104764378,14026048336,15365713048,17070867590,17280250810,17465392764,19309463508,18780322204,20904898296
Mali,MLI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.806322267,5.313935279,3.21313378,-0.836734632,2.29506829,7.084683881,6.171800024,5.852299199,5.305456084,4.746484327,4.756160808,-1.235450447,3.052613569,3.474951711,5.236577528
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,680.6499586,688.3278659,810.182556,753.3921375,778.7970528,818.4303414,723.5042049,750.0518091,795.6828016,856.3565966,840.1757464,822.9061368,881.5100887,831.2234666,897.4486703
Mali,MLI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.449217496,1.946519231,-0.072193463,-3.688613712,-0.648802878,3.74263871,2.882860607,2.528448295,1.972295116,1.473176725,1.531457069,-4.29096596,-0.15090208,0.32124413,2.073620327
Mali,MLI,Population density (people per sq. km of land area),EN.POP.DNST,12.31991329,12.72685483,13.14527574,13.53452085,13.93556167,14.38449258,14.84433326,15.32556897,15.82651472,16.33704423,16.85591916,17.39404519,17.95210828,..,..
Mali,MLI,Population growth (annual %),SP.POP.GROW,3.2555744,3.24973947,3.234811963,2.918108744,2.920044502,3.170675518,3.146747167,3.190441423,3.216407258,3.174850089,3.126669914,3.142603659,3.157964369,3.095209254,3.051661415
Mali,MLI,"Population, total",SP.POP.TOTL,15032635,15529181,16039734,16514687,17004033,17551814,18112907,18700106,19311355,19934298,20567424,21224040,21904983,22593590,23293698
Mali,MLI,Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC,78.7,..,..,..,..,..,..,..,..,48.2,..,..,56.1,..,..
Mali,MLI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,48.2,..,..,..,..,..,..,..,..,15.2,..,..,20.8,..,..
Mali,MLI,Multidimensional poverty headcount ratio (UNDP) (% of population),SI.POV.MPUN,..,..,..,..,..,..,..,..,..,68.3,..,..,..,..,..
Mali,MLI,Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS,14.7,..,..,..,..,..,..,..,..,3,..,..,4.5,..,..
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,12263894790,11411894724,14619279989,16688114144,17198073057,17978246586,16208985770,12069051237,13264640646,15017359042,15512758965,14235420174,16168055475,18406835495,20624597847
Mozambique,MOZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.928971875,6.679729357,7.134058423,7.994503161,6.571413897,7.702568448,7.393093699,4.696990242,2.638207373,3.484932024,2.317813947,-1.219522503,2.377435737,4.359800201,5.000024173
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,546.6007325,494.584022,615.2786598,681.4921286,681.0651142,690.4432181,603.8385138,435.760991,464.2947213,510.3800064,512.2157569,456.5819184,504.0377587,558.2985925,608.4427076
